mesh_code,centroid_lat,centroid_lon,city_area_fraction,centroid_within_city,population,elderly_population,reported_elderly_population,elderly_ratio,HTKSYORI,HTKSAKI,GASSAN,disclosure_status,suppression_flag,aggregation_target_flag,aggregation_flag,primary_eligible_disclosure,nearest_station_name,nearest_station_distance_m,nearest_bus_stop_name,nearest_bus_stop_distance_m,nearest_public_transport_type,nearest_public_transport_name,nearest_public_transport_distance_m,nearest_medical_name,nearest_medical_distance_m,nearest_hospital_name,nearest_medical_access_class,nearest_hospital_distance_m,nearest_clinic_name,nearest_clinic_distance_m,elderly_population_percentile,elderly_ratio_percentile,transport_distance_percentile,medical_distance_percentile,exploratory_score_a,exploratory_score_b,exploratory_score_c,rank_a_unfiltered,rank_b_unfiltered,rank_c_unfiltered,pareto_frontier,eligibility_population_threshold,eligibility_elderly_threshold,primary_eligible,rank
533513111,35.42708333333334,135.390625,0.9999999999999998,True,11,7.0,7.0,0.6363636363636364,0,,,unaffected,False,False,False,True,東舞鶴駅,4620.285980489409,常団地前,2873.042469082202,bus_stop,常団地前,2873.042469082202,鹿野医院,3700.172042058365,京都府立舞鶴こども療育センター,likely_public,4037.379406539762,鹿野医院,3700.172042058365,0.12062937062937062,0.9143356643356644,0.9335664335664335,0.8986013986013986,0.11261553132182502,0.10839772115995892,0.10119647395003158,193,202,120,False,False,False,False,
533513314,35.44791666666667,135.39687499999997,1.0,True,471,200.0,200.0,0.42462845010615713,0,,,unaffected,False,False,False,True,東舞鶴駅,2300.9776090802347,常団地前,562.5974946252306,bus_stop,常団地前,562.5974946252306,鹿野医院,1450.5478993305774,京都府立舞鶴こども療育センター,likely_public,1660.539735245431,鹿野医院,1450.5478993305774,0.8531468531468531,0.5629370629370629,0.541958041958042,0.6048951048951049,0.4623697980341337,0.5160643552251943,0.27968522748218577,24,9,23,True,True,True,True,23
533513323,35.44791666666667,135.403125,1.0,True,601,265.0,265.0,0.44093178036605657,0,,,unaffected,False,False,False,True,東舞鶴駅,2414.3029358434237,常口,331.59077769872783,bus_stop,常口,331.59077769872783,京都府立舞鶴こども療育センター,1576.7345062953968,京都府立舞鶴こども療育センター,likely_public,1576.7345062953968,医療法人社団悠慈会指宿医院,1636.4894882226704,0.9125874125874126,0.6048951048951049,0.36013986013986016,0.6468531468531469,0.32865910313462765,0.5903100396107389,0.21259417510456685,64,3,44,True,True,True,True,42
533513324,35.44791666666667,135.409375,1.0000000000000002,True,206,95.0,95.0,0.46116504854368934,0,,,unaffected,False,False,False,True,東舞鶴駅,2647.0574252702168,常,283.5371752053144,bus_stop,常,283.5371752053144,京都府立舞鶴こども療育センター,1690.720834357258,京都府立舞鶴こども療育センター,likely_public,1690.720834357258,厚生労働省第二共済組合 舞鶴医療センター診療部,1818.8867444449104,0.7167832167832168,0.6538461538461539,0.3041958041958042,0.6573426573426573,0.2180424470634261,0.4711721844588977,0.1433286015661682,122,17,84,False,True,True,True,76
533513332,35.44375000000001,135.421875,1.0,True,29,14.0,14.0,0.4827586206896552,0,,,unaffected,False,False,False,True,東舞鶴駅,3691.6542673873078,与保呂小学校前,858.1507445541758,bus_stop,与保呂小学校前,858.1507445541758,京都府立舞鶴こども療育センター,2684.3294341746955,京都府立舞鶴こども療育センター,likely_public,2684.3294341746955,厚生労働省第二共済組合 舞鶴医療センター診療部,2796.572521716145,0.30244755244755245,0.6783216783216783,0.6853146853146853,0.7972027972027972,0.2072717492297912,0.24111203481832852,0.16523761826710626,132,101,67,False,True,True,True,61
533513333,35.44791666666667,135.41562499999998,1.0,True,40,14.0,14.0,0.35,0,,,unaffected,False,False,False,True,東舞鶴駅,2971.306033887983,与保呂小学校前,140.08065111029052,bus_stop,与保呂小学校前,140.08065111029052,京都府立舞鶴こども療育センター,1968.432490013917,京都府立舞鶴こども療育センター,likely_public,1968.432490013917,厚生労働省第二共済組合 舞鶴医療センター診療部,2085.042775866489,0.30244755244755245,0.41083916083916083,0.1048951048951049,0.6958041958041958,0.03172526773925376,0.21044427600371657,0.02207457440598426,260,124,228,False,True,True,True,178
533513334,35.44791666666667,135.421875,0.9999999999999998,True,74,40.0,40.0,0.5405405405405406,0,,,unaffected,False,False,False,True,東舞鶴駅,3360.6691054810512,与保呂小学校前,635.164735235141,bus_stop,与保呂小学校前,635.164735235141,京都府立舞鶴こども療育センター,2352.5855673130177,京都府立舞鶴こども療育センター,likely_public,2352.5855673130177,厚生労働省第二共済組合 舞鶴医療センター診療部,2455.6447853019795,0.5874125874125874,0.7902097902097902,0.6083916083916084,0.7447552447552448,0.35737688884542035,0.43747860531077315,0.26615831232193893,56,27,26,False,True,True,True,26
533513341,35.44375000000001,135.42812500000002,1.0,True,87,,50.0,,1,,533513051,aggregation_destination,False,True,True,False,東舞鶴駅,4091.160765514479,与保呂小学校前,1328.2068196800294,bus_stop,与保呂小学校前,1328.2068196800294,京都府立舞鶴こども療育センター,3083.7340759048707,京都府立舞鶴こども療育センター,likely_public,3083.7340759048707,厚生労働省第二共済組合 舞鶴医療センター診療部,3185.5072657933174,,,,,,,,,,,,True,False,False,
533513342,35.44375000000001,135.434375,1.0000000000000002,True,24,14.0,14.0,0.5833333333333334,0,,,unaffected,False,False,False,True,東舞鶴駅,4526.654695001383,与保呂小学校前,1853.5700882120311,bus_stop,与保呂小学校前,1853.5700882120311,京都府立舞鶴こども療育センター,3529.4447752071915,京都府立舞鶴こども療育センター,likely_public,3529.4447752071915,厚生労働省第二共済組合 舞鶴医療センター診療部,3621.8585192529217,0.30244755244755245,0.8426573426573427,0.8496503496503497,0.8916083916083916,0.25697466868795543,0.2696647757836569,0.22912077103296724,103,84,35,False,True,True,True,34
533513343,35.44791666666667,135.42812500000002,1.0,True,41,16.0,16.0,0.3902439024390244,0,,,unaffected,False,False,False,True,東舞鶴駅,3795.1578974371305,与保呂小学校前,1196.2826468071419,bus_stop,与保呂小学校前,1196.2826468071419,京都府立舞鶴こども療育センター,2799.7022472114922,京都府立舞鶴こども療育センター,likely_public,2799.7022472114922,厚生労働省第二共済組合 舞鶴医療センター診療部,2890.79770553866,0.36363636363636365,0.486013986013986,0.7447552447552448,0.8181818181818182,0.2708200890019072,0.2975206611570248,0.22158007281974226,97,69,43,False,True,True,True,41
