citywide_screening_rank,mesh_code,label,residential_buildings,estimated_elderly,centroid_transport,weighted_transport_mean,weighted_transport_p90,centroid_medical,weighted_medical_mean,weighted_medical_p90
83,533903152,羽鳥一丁目周辺,598,588.0,179.98093400356248,139.71269958646323,198.58674232574998,272.4880928342803,239.488151549648,353.73675240179205
84,523973872,鵠沼海岸周辺,826,627.0,229.87257238262978,197.44262373374264,306.94052071599265,205.0873887273123,212.98200991862623,329.5801615988163
85,533903164,明治小学校前周辺,672,587.0,117.12712139916022,139.59014661678287,251.937486441575,626.682562910065,621.6169500395629,776.8960700926542
86,533903723,宮原周辺,113,78.99999999999999,463.61596740803196,332.00730611793773,457.6412027725104,625.4252723330708,479.76153664454694,633.9221200419469
87,533903851,公民館前周辺,306,347.0,256.55869366138455,173.68222309396353,304.5005790123475,271.49302290342786,253.86690191169558,360.9547607884722
88,523973893,岩屋不動入口周辺,653,530.0,210.9434401542593,187.62884605948017,292.2894660866054,241.28943344980016,134.34397068327328,210.88455065081433
89,533903352,小糸周辺,341,690.0,176.0688782609951,136.1019538079782,224.10062978349103,230.55342626517418,243.84556784395338,374.2577628692789
9,523973972,熊倉通り周辺,910,634.0,338.66423235749966,250.28219395948167,339.6467585584201,387.8718764963098,296.3783738647206,390.7302206432771
90,533903762,円行上庭周辺,372,391.0000000000001,176.7744478259792,161.89847872604614,238.9080401483784,341.9750831376249,277.947310929912,427.49028556343745
91,533903074,神明町周辺,475,341.0,150.60812332370978,149.4767015239381,217.65671029574307,527.9054034572841,483.09266036087826,565.3994577535465
92,533903683,六会周辺,387,200.0,232.7515087662638,172.27539250527659,306.28882905050114,348.64867312572994,270.3793335141264,421.7281606264618
93,533903733,古里団地周辺,186,150.99999999999997,240.1343162231425,190.48172885551114,291.2354756902988,406.46707620758616,368.66839553284143,572.4911229141331
94,533903573,保育園前周辺,601,478.0,127.19450356724506,121.40012807626492,199.3302084949649,522.0222750719972,504.63162320928814,698.1659954430025
95,533903951,藤沢・綾瀬ふれあいの杜周辺,52,72.0,345.10615010040857,377.8306167714208,452.55597025783726,960.6008791430241,862.391612357217,905.3939555925899
96,533903251,有藤周辺,32,92.0,316.036273056087,68.12641474224395,73.25883717324982,504.28247862179427,532.6130410946087,567.7775411952088
