mesh_code,transport_terrain_elderly_weight_coverage,transport_weighted_mean_ascent_m,transport_weighted_median_ascent_m,transport_weighted_p90_ascent_m,transport_weighted_mean_descent_m,transport_weighted_mean_maximum_grade_percent,medical_terrain_elderly_weight_coverage,medical_weighted_mean_ascent_m,medical_weighted_median_ascent_m,medical_weighted_p90_ascent_m,medical_weighted_mean_descent_m,medical_weighted_mean_maximum_grade_percent,terrain_metric_status
533903262,0.7666705310139985,4.278806068378632,3.1663520194515087,8.308243796274825,2.0618201101773885,8.670691364754592,1.0,12.348725794148287,10.242047186828515,34.28024032621117,7.4817964054971124,11.692772768655992,partial
533903263,0.9707902490114525,1.5215533704099025,1.0015836137161038,2.5545366805334844,3.769563352878878,4.579021881593769,0.9107559495331048,1.4991643591964945,0.8119719290469973,3.441616359192558,4.02487978045416,5.870758588528206,partial
533903264,1.0,0.0,0.0,0.0,6.1378899768581805,14.256904463129775,1.0,15.552266928289114,16.438819087699112,16.438819087699112,0.0,7.792665607152759,available
533903271,0.9984416098078656,4.251796980146886,1.485682993526531,17.00047368748143,9.609708673219485,12.06793710378025,1.0,9.732375616641692,4.467230978894998,18.95053497937097,38.123807480556415,25.388808062007662,partial
533903272,0.8635218719949744,2.9648136077028426,2.5229750705122633,5.036500572033958,9.261286466347466,9.71032264704886,0.8470548960977204,2.705487786232662,2.376326937210953,5.612890299301473,13.929850413827586,9.579228765825535,partial
533903273,1.0,2.2748720029846177,2.152266325334672,7.005845808148791,1.2818824922053798,4.7117427520652795,1.0,5.427164493445125,3.9773985721747014,13.368727694247681,24.351009300632704,14.79701730843521,available
533903274,0.9358522195299467,7.420432085489783,2.9605819613532773,24.091747458740603,6.6027517881551505,17.89320709323312,0.9824143352919383,9.126453637210316,5.4508265451210836,28.698257625149328,9.168262721192557,17.917399098055878,partial
533903281,0.49391057818484235,16.733442154904107,18.60178087904385,35.684472065866395,1.274919640507646,12.210588141025658,0.6961756499642582,1.3880835925309352,0.8214925369881083,5.612890299301473,5.30778129466522,5.221827228451887,partial
533903282,0.15107001090353828,31.149073919029302,36.13911741345168,36.639309098476126,2.9043782068624515,20.764176754566357,0.13043679851117823,0.6423599313026851,0.6658794585888916,0.9685469473114141,1.1664036161615892,1.9540848466286398,partial
533903283,0.9755627369178176,20.09564495353945,22.334587638343713,35.52736718753539,1.128388067538296,19.85808437895457,1.0,3.969503479078821,1.2830530866198995,11.614840604024316,9.915187471154706,13.08616115527106,partial
533903284,1.0,29.004807537707883,36.470016988177946,45.377398286453484,2.0108606531800683,21.986269379176083,1.0,9.430042378209002,2.507650487622813,44.00130123655778,4.293490847812778,9.04309014702278,available
533903291,0.9968267978868041,2.434006533061012,1.1160431287212234,6.615089845488853,6.306150319669636,10.354714486909948,0.7980902460007022,8.294652310747963,5.6500606392344075,13.849325261929899,29.895587839549755,23.97898766883426,partial
533903292,0.9790103719825551,2.643508457446301,2.8791708630974604,5.574286832486319,4.797621064684381,10.444064276826895,1.0,5.548839296347219,4.64653419844257,11.978996533671534,4.568724262265534,9.477542867454684,partial
533903293,1.0,2.860617334131003,0.7281757007062595,9.612442415319869,2.704918990627365,4.7860238581050005,0.9521211489115641,4.513838678596091,3.58729223133129,6.277660500023131,30.71052921132489,25.315984481535967,partial
533903294,1.0,3.3052328885241042,2.9775752937283713,6.168541821075216,4.657358292308917,12.747539504798583,1.0,2.07212006782955,2.2578215357535782,4.149678197203954,12.371795809003416,15.731811522566517,available
533903342,1.0,15.860582734422994,17.195952119730784,17.49693617085245,12.654981304861577,15.155544674149446,1.0,16.182159132138224,17.51752851744601,17.818512568567677,12.993160662260019,15.155544674149446,available
533903344,1.0,3.4108848369770435,1.8379900785830188,9.512990096842486,11.084465495254197,6.410261527131002,1.0,3.7324612346922703,2.159566476298245,9.834566494557713,11.422644852652631,6.410261527131002,available
533903351,1.0,6.764089176476647,3.456203069220848,18.291968682460983,8.599316269809679,13.43640935360905,1.0,9.507826470338458,7.506173010367203,22.90174462735043,9.686335968278993,11.396619155137273,available
533903352,1.0,2.2806752390223326,1.2482107300600376,5.370786581389181,4.039208034592343,10.1793559931426,0.9626731392663426,7.437689455930523,6.9318463142282205,16.23315441407415,4.316188079556688,11.679632616264932,partial
533903353,0.9477555515287328,3.397321321191035,2.0713892599904113,7.774716820200979,5.130776834583869,6.895568388519181,0.9477555515287328,3.4126960474100065,2.0786764996256224,8.096293217916205,4.8566683210327986,6.539901854038703,partial
533903354,1.0,3.2687906390959403,2.363567293175983,5.743750367955819,6.766027961636491,5.717613870659785,0.9998161342926986,5.761369207187598,3.2048537961214265,15.331443411798727,2.7314481142311537,4.972515747933771,partial
533903361,0.6981919032266043,1.9654346833639027,1.2770589123016105,6.230192714106465,2.7938444361095693,10.287217708248315,0.7063668233197598,0.7631673461026528,0.4562922678393555,1.392826246211646,1.464596720192377,3.645693899346703,partial
533903362,0.9433332353394709,5.488373350797622,0.0,34.863573743319435,3.957141886170495,10.904798190270395,0.8163556298033671,9.157439119987735,11.947906031014362,11.947906031014362,9.552694280149298,10.725507537499603,partial
533903363,1.0,0.5707688898037323,0.1743530034578189,1.9819955741217008,7.884620702796966,6.190882893085548,1.0,7.1580470858400504,6.884685698935087,12.995642650236846,3.3617119087854035,7.130333812328299,available
533903364,1.0,3.39633873966191,1.339888952694956,8.165972874257434,1.4798634235995731,7.4089514568357915,0.9937722615417496,9.23251389089146,7.23879492421846,15.556833132809878,5.949334789603339,9.32767450921912,partial
533903371,1.0,2.0392179068743927,2.2449151788704427,4.320777721100832,5.491003628106714,8.296717179831074,1.0,2.720778768065239,1.9614926259291892,2.880622850844155,14.146173507165308,9.194678026348322,available
533903372,1.0,3.9921380287459187,1.5271409104834106,16.248204229546197,3.192069571376131,9.991812091038549,1.0,3.9570618115685092,2.0895752000547674,9.624581379081796,4.089735448499952,11.0505407083332,available
533903373,1.0,2.636463249605325,1.5379163456090055,8.317405458171159,7.291341395897351,10.42990540405949,1.0,3.219023072400641,1.2028473035181264,9.069198162855365,8.038507597597224,9.3325822313637,available
533903374,1.0,1.3692353392781886,0.1420007397082621,5.805927178431556,5.721128560883881,7.8149997055112905,1.0,2.7938309645973582,0.8735150287506528,7.550505645130567,3.757425326764282,8.716159511820852,available
