mesh_code,centroid_lat,centroid_lon,city_area_fraction,centroid_within_city,population,elderly_population,reported_elderly_population,elderly_ratio,HTKSYORI,HTKSAKI,GASSAN,disclosure_status,suppression_flag,aggregation_target_flag,aggregation_flag,primary_eligible_disclosure,nearest_station_name,nearest_station_distance_m,nearest_bus_stop_name,nearest_bus_stop_distance_m,nearest_public_transport_type,nearest_public_transport_name,nearest_public_transport_distance_m,nearest_medical_name,nearest_medical_distance_m,nearest_hospital_name,nearest_hospital_distance_m,nearest_clinic_name,nearest_clinic_distance_m,elderly_population_percentile,elderly_ratio_percentile,transport_distance_percentile,medical_distance_percentile,exploratory_score_a,exploratory_score_b,exploratory_score_c,rank_a_unfiltered,rank_b_unfiltered,rank_c_unfiltered,pareto_frontier,eligibility_population_threshold,eligibility_elderly_threshold,primary_eligible,rank
533903354,35.36458333333334,139.44687499999998,0.9999999999999998,True,2635,613.0,613.0,0.23263757115749525,0,,,unaffected,False,False,False,True,善行,2409.079678252594,ライフタウン中央,138.91027360530202,bus_stop,ライフタウン中央,138.91027360530202,湘南ライフタウン診療所,289.7711721460254,村田会湘南大庭病院,372.8952831724595,湘南ライフタウン診療所,289.7711721460254,0.7262357414448669,0.3612167300380228,0.3041825095057034,0.4448669201520912,0.22090821032543478,0.3230782576009484,0.09827475516378657,108,60,102,False,True,True,True,102
533903361,35.360416666666666,139.453125,0.9999999999999998,True,477,116.0,116.0,0.2431865828092243,0,,,unaffected,False,False,False,True,善行,1846.872712227761,天神社前,229.48132307659586,bus_stop,天神社前,229.48132307659586,医療法人社団栄友会　湘南ゆずクリニック,107.9107927209545,村田会湘南大庭病院,794.8437104713183,医療法人社団栄友会　湘南ゆずクリニック,107.9107927209545,0.24334600760456274,0.4372623574144487,0.596958174904943,0.12927756653992395,0.14526738857002414,0.0314591796903237,0.018779814491942284,152,233,210,False,True,True,True,210
533903362,35.360416666666666,139.45937499999997,1.0,True,451,109.0,109.0,0.24168514412416853,0,,,unaffected,False,False,False,True,善行,1285.911751850736,善行坂北,402.925627292962,bus_stop,善行坂北,402.925627292962,荏原製作所藤沢事業所診療所,353.32832660958104,村田会湘南大庭病院,1143.1618290658555,荏原製作所藤沢事業所診療所,353.32832660958104,0.2262357414448669,0.4220532319391635,0.8897338403041825,0.5627376425855514,0.20128959504980554,0.12731136780927874,0.11327323219532784,120,163,97,False,True,True,True,97
533903363,35.36458333333334,139.453125,1.0,True,1460,287.0,287.0,0.19657534246575342,0,,,unaffected,False,False,False,True,善行,1844.2371301763849,弁天前,70.92061898589151,bus_stop,弁天前,70.92061898589151,村田会湘南大庭病院,410.9992501925264,村田会湘南大庭病院,410.9992501925264,藤沢愛光園附属診療所,448.2492967671272,0.4144486692015209,0.18631178707224336,0.09125475285171103,0.6615969581749049,0.03782041087770533,0.2741979788633636,0.025021868793614933,227,82,191,False,True,True,True,191
533903364,35.36458333333334,139.45937499999997,0.9999999999999998,True,1375,366.0,366.0,0.2661818181818182,0,,,unaffected,False,False,False,True,善行,1282.1587684587419,善行団地西,155.52556983786994,bus_stop,善行団地西,155.52556983786994,善行団地石川医院,588.701337029862,村田会湘南大庭病院,918.6557385033499,善行団地石川医院,588.701337029862,0.4866920152091255,0.5855513307984791,0.3726235741444867,0.844106463878327,0.18135291821480723,0.41081987595599184,0.15308117050831638,130,30,68,False,True,True,True,68
533903371,35.360416666666666,139.465625,0.9999999999999998,True,2850,502.0,502.0,0.17614035087719299,0,,,unaffected,False,False,False,True,善行,735.8031572098876,善行坂南,197.40733670315998,bus_stop,善行坂南,197.40733670315998,えりクリニック,401.98332453440213,湘南長寿園病院,1574.5423535510129,えりクリニック,401.98332453440213,0.6045627376425855,0.10646387832699619,0.5209125475285171,0.6425855513307985,0.3149243158062138,0.3884832800821177,0.2023658150998104,76,35,43,False,True,True,True,43
533903372,35.360416666666666,139.471875,0.9999999999999998,True,2333,597.0,597.0,0.2558936990998714,0,,,unaffected,False,False,False,True,善行,272.8546419873816,善行市民センター,73.77428303142511,bus_stop,善行市民センター,73.77428303142511,本藤沢内科クリニック,237.94278925630758,湘南長寿園病院,1141.2846606825917,本藤沢内科クリニック,237.94278925630758,0.7186311787072244,0.5247148288973384,0.09505703422053231,0.34600760456273766,0.0683109485463141,0.24865185270858334,0.02363610767191857,200,94,198,False,True,True,True,198
533903373,35.36458333333334,139.465625,1.0,True,3489,1149.0,1149.0,0.32932072226999143,0,,,unaffected,False,False,False,True,善行,729.2636742774296,マーケット前,284.47342696597457,bus_stop,マーケット前,284.47342696597457,善行団地石川医院,301.25691518138433,村田会湘南大庭病院,1471.0791662672245,善行団地石川医院,301.25691518138433,0.9923954372623575,0.8174904942965779,0.7452471482889734,0.46387832699619774,0.7395798695947607,0.4603507351559225,0.3430750725876837,7,22,16,True,True,True,True,16
533903374,35.36458333333334,139.471875,1.0,True,3036,630.0,630.0,0.2075098814229249,0,,,unaffected,False,False,False,True,善行,254.7407944352664,善行駅入口,90.97830643437935,bus_stop,善行駅入口,90.97830643437935,石田胃腸科医院,77.58686716888501,湘南長寿園病院,1519.8813034019447,石田胃腸科医院,77.58686716888501,0.7585551330798479,0.22813688212927757,0.1444866920152091,0.07604562737642585,0.10960112188986394,0.05768480099466524,0.008334686075274824,170,215,229,False,True,True,True,229
533903381,35.360416666666666,139.47812499999998,1.0,True,1571,539.0,539.0,0.343093570973902,0,,,unaffected,False,False,False,True,善行,502.69100112553593,藤沢翔陵高校前,101.5432693716293,bus_stop,藤沢翔陵高校前,101.5432693716293,神奈川県立総合教育センター巡回診療型診療所,65.02930915147329,湘南長寿園病院,878.1583970968924,神奈川県立総合教育センター巡回診療型診療所,65.02930915147329,0.6520912547528517,0.8326996197718631,0.17870722433460076,0.045627376425855515,0.11653341814974916,0.02975321314461681,0.005317114136110228,166,236,242,False,True,True,True,242
