mesh_code,network_transport_weighted_mean_distance_m,network_transport_weighted_median_distance_m,network_transport_weighted_p90_distance_m,network_medical_weighted_mean_distance_m,network_medical_weighted_median_distance_m,network_medical_weighted_p90_distance_m,transport_elderly_weight_coverage,medical_elderly_weight_coverage,network_reachable_buildings_transport,network_reachable_buildings_medical,centroid_transport_distance,weighted_mean_transport_distance,weighted_median_transport_distance,weighted_p90_transport_distance,transport_difference,centroid_medical_distance,weighted_mean_medical_distance,weighted_median_medical_distance,weighted_p90_medical_distance,medical_difference,population_weighted_mean_transport_distance,population_weighted_median_transport_distance,population_weighted_p90_transport_distance,population_weighted_mean_medical_distance,population_weighted_median_medical_distance,population_weighted_p90_medical_distance,residential_building_count,estimated_population_allocated,estimated_elderly_allocated,citywide_screening_rank,label,network_minus_building_euclidean_transport_m,network_minus_building_euclidean_medical_m,network_transport_detour_ratio,network_medical_detour_ratio,network_metric_status
533512161,470.7070827410443,472.46381940641436,581.1249972485972,414.3241543816578,433.3647896243561,591.0665259270256,1.0,1.0,416,416,32.359472213734264,226.37082632096505,225.86273698941628,292.5761819298268,194.0113541072308,95.14447060254072,244.6480688920105,252.64746260984447,365.288337719162,149.50359828946978,226.37082632096505,225.86273698941628,292.5761819298268,244.6480688920105,252.64746260984447,365.288337719162,416,887.0,214.0,285,城南中学校前周辺,244.33625642007925,169.6760854896473,2.0793628330606593,1.6935517057547003,available
533512162,643.6197664757417,642.4318159505654,765.8111117740029,661.1367308136909,666.2203145336376,768.0688614168207,1.0,1.0,284,284,551.9657691035717,405.6031040223487,410.8655569808354,487.0965289543697,-146.36266508122304,651.567103141086,505.60449073622345,514.7684859269166,590.6615464513173,-145.96261240486257,405.6031040223487,410.8655569808354,487.0965289543697,505.60449073622334,514.7684859269166,590.6615464513173,284,686.0,143.0,96,城南中学校前周辺,238.016662453393,155.5322400774674,1.5868215999655622,1.3076164134756656,available
533512163,356.09589787984163,346.6669401980803,539.3705129629811,727.5023838657753,731.6806691515507,832.6243879394602,1.0,1.0,390,390,30.75212570229139,191.13811439123012,194.67164155978332,273.7204500623691,160.38598868893877,516.6434191856881,573.1571396129742,606.5804141396289,665.6407118558952,56.5137204272861,191.13811439123012,194.67164155978332,273.7204500623691,573.1571396129743,606.5804141396289,665.6407118558952,390,683.0,181.0,276,中筋小学校口周辺,164.9577834886115,154.34524425280108,1.8630292498908327,1.269289577997795,available
533512164,893.2621662197154,792.9144034790643,1373.5439339314676,898.9607633791842,874.8796416265121,1137.0203518578187,1.0,1.0,584,584,565.4824337511279,509.0009124839968,491.5260325765656,703.760019776822,-56.481521267131086,808.8707244193123,686.5466497269721,682.3093441742037,819.2746564207081,-122.32407469234022,509.0009124839968,491.5260325765656,703.760019776822,686.5466497269721,682.3093441742037,819.2746564207081,584,1401.0,225.0,53,中筋小学校口周辺,384.2612537357186,212.4141136522121,1.754932347489259,1.309395018876992,available
533512252,833.1055341075582,973.8325964466541,1046.9147825713758,956.2777600078844,1095.1544680040188,1240.4500132785893,1.0,1.0,133,133,696.2413471410347,495.0875492189375,496.8049218577815,612.5483455097543,-201.15379792209723,758.7913678813773,668.6636214225483,789.1193171125245,846.6787490535661,-90.12774645882894,495.0875492189373,496.8049218577815,612.5483455097543,668.6636214225483,789.1193171125245,846.6787490535661,133,309.0,156.0,56,西高前周辺,338.01798488862073,287.61413858533604,1.6827438610037484,1.430132774343924,available
533512254,607.0571942475793,604.6715041422312,723.33358099074,578.9932268306757,577.6045047024838,695.482669742048,1.0,1.0,309,309,607.6107067474304,452.6495264436269,446.847259698224,562.757020121339,-154.96118030380353,621.9713886276198,453.0842685492417,433.6756900807071,569.4775382336898,-168.88712007837813,452.6495264436268,446.847259698224,562.757020121339,453.0842685492417,433.6756900807071,569.4775382336898,309,485.00000000000006,163.0,97,西高前周辺,154.40766780395245,125.90895828143397,1.3411196936780236,1.2778930256938508,available
533512261,465.57991163578,486.5525112939704,575.7315712611351,471.0292567844631,488.4870864293818,688.9341488591315,1.0,1.0,430,430,357.43647138685685,310.84323648460366,319.183536083782,396.67292095471487,-46.59323490225319,409.3611939412069,380.7567043836194,395.286820774606,597.1911257843976,-28.6044895575875,310.84323648460366,319.183536083782,396.67292095471487,380.75670438361936,395.286820774606,597.1911257843976,430,1230.0,292.0,159,西高前周辺,154.7366751511763,90.27255240084367,1.4977964999371653,1.2370872301434053,available
533512262,756.3752340699743,714.9232062799139,1057.7577920003873,528.642028881626,502.96419193213654,823.8993408901955,0.995793113786075,0.995793113786075,512,512,644.0610364271614,563.1350659385514,525.0171933074038,787.092237390897,-80.92597048861,409.4994473361805,398.3346424365824,394.6190798262721,593.7347245344431,-11.164804899598096,563.1350659385515,525.0171933074038,787.092237390897,398.3346424365824,394.6190798262721,593.7347245344431,514,1129.0,221.0,126,西高前周辺,193.24016813142293,130.30738644504356,1.343150657488108,1.3271304389895975,partial
533512263,323.5178939944388,298.98239303706015,529.9562250423531,287.76727148657193,264.2262763064566,512.9860346270526,1.0,1.0,452,452,110.53543204709044,218.3730381519904,217.9730364391076,317.03039549849615,107.83760610489996,60.2365368364778,167.4764742762111,151.91897543302306,313.0305091381275,107.2399374397333,218.3730381519904,217.9730364391076,317.03039549849615,167.47647427621106,151.91897543302306,313.0305091381275,452,1100.0000000000002,335.0,283,西高前周辺,105.14485584244841,120.29079721036084,1.4814919311113228,1.7182548935916269,available
533512264,483.28753495537615,484.2783805134172,666.8229534111438,270.8982120916959,256.3867395637425,394.8014245694833,1.0,1.0,360,360,421.2923400167522,385.5821868249768,409.6617652391442,544.5344926959871,-35.71015319177542,140.69695611481558,161.211193817102,149.38232882720268,276.4514011174705,20.514237702286408,385.5821868249768,409.6617652391442,544.5344926959871,161.211193817102,149.38232882720268,276.4514011174705,360,631.0,170.0,233,西舞鶴駅周辺,97.70534813039933,109.6870182745939,1.2533969448509552,1.6803933131283457,available
