mesh_code,centroid_transport_distance,weighted_mean_transport_distance,weighted_median_transport_distance,weighted_p90_transport_distance,transport_difference,centroid_medical_distance,weighted_mean_medical_distance,weighted_median_medical_distance,weighted_p90_medical_distance,medical_difference,population_weighted_mean_transport_distance,population_weighted_median_transport_distance,population_weighted_p90_transport_distance,population_weighted_mean_medical_distance,population_weighted_median_medical_distance,population_weighted_p90_medical_distance,residential_building_count,estimated_population_allocated,estimated_elderly_allocated,citywide_screening_rank,label
533512354,341.63578259485473,299.4627619458225,309.46365190546214,419.2932581312688,-42.17302064903225,221.69863616936814,151.67748101435984,145.81298754833637,262.4655677134775,-70.0211551550083,299.4627619458225,309.46365190546214,419.2932581312688,151.67748101435987,145.81298754833637,262.4655677134775,286,474.0,180.0,207,西町周辺
533512361,163.80467894627742,226.55654086911233,221.569524045567,353.7920223720484,62.751861922834905,20.09678804020568,152.58591711316376,144.13439290247408,258.7945602943707,132.48912907295806,226.55654086911233,221.569524045567,353.7920223720484,152.58591711316376,144.13439290247408,258.7945602943707,479,1223.0,429.0,282,千日前周辺
533512362,147.8574957551451,186.95854804084075,184.8493696556266,295.4350232011382,39.10105228569566,94.64209602778459,134.0752249657183,130.64990564119014,212.45600445556855,39.4331289379337,186.95854804084075,184.8493696556266,295.4350232011382,134.07522496571832,130.64990564119014,212.45600445556855,490,1074.0,320.0,270,東田辺周辺
533512363,62.73342482680828,190.72707693059147,184.0704284929049,301.48325079615825,127.99365210378318,176.1061818370378,175.11757542152563,157.17824796888985,287.60214014352886,-0.9886064155121801,190.7270769305915,184.0704284929049,301.48325079615825,175.1175754215256,157.17824796888985,287.60214014352886,458,895.0,334.0,273,本町周辺
533512364,325.3254761812133,238.24429141721697,246.70534381186155,318.02232860124735,-87.0811847639963,323.06385966569076,301.4655427153868,300.38610420534604,432.32506158089404,-21.598316950303968,238.244291417217,246.70534381186155,318.02232860124735,301.46554271538685,300.38610420534604,432.32506158089404,330,701.0,206.0,188,東田辺周辺
533512371,170.096794129985,137.09111480426427,129.19784203701374,244.503761509962,-33.005679325720735,142.86127321770732,201.48630087766355,214.52095397026827,328.43752201468226,58.62502765995623,137.09111480426427,129.19784203701374,244.503761509962,201.48630087766355,214.52095397026827,328.43752201468226,251,561.0,256.0,250,倉谷西周辺
533512372,262.7081776272447,214.22065715504868,210.71646717236163,324.276626489274,-48.487520472196024,653.2793652516577,680.8189213550855,714.4947158577775,856.2342465176825,27.5395561034278,214.2206571550487,210.71646717236163,324.276626489274,680.8189213550856,714.4947158577775,856.2342465176825,255,603.0,127.0,158,福来西周辺
533512373,309.7559248791224,222.66935111417254,217.33846813006724,319.33376621846105,-87.08657376494986,206.12923173719253,183.08731151914637,185.46698222243901,295.8943608432583,-23.041920218046158,222.66935111417257,217.33846813006724,319.33376621846105,183.08731151914637,185.46698222243901,295.8943608432583,532,1059.0,329.0,218,倉谷西周辺
533512374,240.75460785975258,197.84207457837167,188.25351105596337,313.1689301202715,-42.91253328138092,468.4086440630451,490.44117774906056,485.700123261699,681.4189123437222,22.032533686015483,197.84207457837172,188.25351105596337,313.1689301202715,490.4411777490606,485.700123261699,681.4189123437222,353,740.0,237.0,187,福来西周辺
533512381,510.15636743177885,448.80958572630846,471.0113191868937,533.3629677981316,-61.34678170547039,933.3061333666161,997.7564773147315,1010.087018377051,1087.14815100714,64.45034394811535,448.80958572630857,471.0113191868937,533.3629677981316,997.7564773147318,1010.087018377051,1087.14815100714,143,262.0,78.00000000000001,81,福来東周辺
533512383,207.85693497164772,155.79757651090208,151.9324015188487,219.45395873962806,-52.05935846074564,496.79992595009793,494.8680913266785,496.79512782783974,774.882488675811,-1.9318346234194337,155.7975765109021,151.9324015188487,219.45395873962806,494.86809132667844,496.79512782783974,774.882488675811,193,386.0,98.0,205,福来東周辺
533512384,532.8445937659077,425.8744127600246,443.81396028908387,491.45986353432903,-106.97018100588309,491.6798802331391,394.61086136648584,418.4272760270626,471.96955344768554,-97.06901886665327,425.8744127600246,443.81396028908387,491.45986353432903,394.61086136648566,418.4272760270626,471.96955344768554,17,22.000000000000004,15.000000000000002,202,昭和台周辺
