citywide_screening_rank,mesh_code,label,residential_buildings,estimated_elderly,centroid_transport,weighted_transport_mean,weighted_transport_p90,centroid_medical,weighted_medical_mean,weighted_medical_p90
285,533512161,城南中学校前周辺,416,214.0,32.359472213734264,226.37082632096505,292.57618192982676,95.14447060254072,244.6480688920105,365.288337719162
286,533513721,市場周辺,390,271.0,52.282694004482124,149.67261655089018,246.24146802254032,66.29273522734431,165.22689092421285,298.129114773921
38,533523032,大波上周辺,251,110.0,411.1773727537705,302.5026280381911,389.7644896133741,1956.506793087419,1834.6858052296295,1949.5391924452786
39,533513831,東高口周辺,160,130.0,575.5988445307456,445.04103945628896,525.3984361855731,1128.1455596236635,977.327737232414,1037.4427094206999
44,533513323,常口周辺,294,265.00000000000006,331.59077769872783,229.5693960038441,396.51269500928174,1576.7345062953968,1439.9612786603723,1615.1143306675185
46,533502852,真倉駅前周辺,46,28.999999999999996,543.5481918283396,545.7112986034296,756.5027235626897,2253.2819758396276,2220.588936792767,2413.5794925961204
47,533512781,和田周辺,442,335.0,446.60142735947244,385.1879138695558,542.7895006006848,1038.193208938622,1094.6919550059154,1273.782680303015
48,533513601,三宅団地前周辺,94,91.00000000000001,706.6065340673392,689.368625714723,763.3773771260882,901.5356432007736,713.2452045034869,1017.5871615231878
53,533512164,中筋小学校口周辺,584,225.0,565.4824337511279,509.00091248399684,703.760019776822,808.8707244193123,686.5466497269721,819.2746564207081
56,533512252,西高前周辺,133,156.0,696.2413471410347,495.08754921893745,612.5483455097543,758.7913678813773,668.6636214225483,846.6787490535661
57,533512441,福井小学校口周辺,54,41.0,548.9209169499675,514.4927198085113,639.2228237189673,1314.484403856397,1225.0877057162406,1280.7845921366586
61,533513934,中宮周辺,12,26.0,533.5142598180629,233.37811938357515,269.33221053339054,1703.4994545995528,1607.5971465352118,1664.9807978577437
62,533513411,上地橋周辺,90,63.0,639.2297566465631,491.7464050109808,573.9160452580116,934.5460819926172,908.204166631079,964.945617106853
65,533513832,田中橋周辺,155,66.0,491.37086173677966,346.7904520328018,421.027682797623,1216.434307126815,1048.381532861169,1148.7612978395778
68,533513822,東高口周辺,315,147.0,744.4853286885959,644.9692449353441,716.1556191044576,682.2397767196807,679.261030863189,872.2355021517053
71,533513943,中宮周辺,254,144.0,341.11916887929453,190.22666974189158,265.7951922589534,1224.9382193345193,1313.965409969002,1448.624491472106
73,533513841,安岡周辺,126,63.00000000000001,518.3674048145631,367.5772166071292,471.93052975825515,1092.0823953165598,1077.8104485667393,1268.292471629283
74,533513752,庵の谷周辺,23,17.000000000000004,647.8294718909459,577.8695610295136,716.6685122398321,1596.5024827425675,1489.725413459988,1640.3364759953968
77,533512443,福井小学校口周辺,49,15.999999999999998,972.9348813705788,809.7048701082748,976.3545415176839,1445.6442154317745,1170.1922995303355,1229.1029421051276
79,533513724,東高口周辺,386,213.99999999999997,491.8521885248211,555.428484077833,666.8340414558253,762.8635982700614,627.2691451982672,728.1039870180755
81,533512381,福来東周辺,143,78.00000000000001,510.15636743177885,448.80958572630846,533.3629677981316,933.3061333666161,997.7564773147315,1087.14815100714
83,533512154,中筋小学校口周辺,242,143.0,571.1879544577747,528.1173571557306,639.1443494823219,704.0086845540078,665.3651079699499,815.1914443073352
90,533513404,白鳥団地前周辺,116,96.99999999999999,450.30270908013193,351.41580012133124,452.17119719216936,844.8305929473295,808.8942425549396,892.7464132806092
91,533512343,福井小学校口周辺,121,84.99999999999999,288.79290171976805,245.60163242417656,373.5670029706265,1339.1137757869292,1221.6335113269113,1413.914141794374
96,533512162,城南中学校前周辺,284,143.0,551.9657691035717,405.60310402234865,487.0965289543697,651.567103141086,505.60449073622345,590.6615464513173
97,533512254,西高前周辺,309,163.0,607.6107067474304,452.6495264436269,562.757020121339,621.9713886276198,453.0842685492417,569.4775382336898
98,533502854,真倉駅前周辺,23,25.000000000000004,320.60100605264955,188.33342496388775,214.45609502246137,2065.6144151335866,1914.04858549045,1937.4786796735557
99,533513423,常団地前周辺,139,128.0,556.4427979861277,386.5838567085651,507.65786460161684,653.111936359659,613.8252212338317,887.2511577799227
